CategoriadeSituacao,Sexo,RendaFamiliar,CorRaca,FaixaEtaria,Turno,CargaHorariaMinimaRegulamentada,InscritoVagas,FatordeEsforcodeCurso,Regiao
"Concluintes","F","1<RFP<=1.5","Preta","25 a 29 anos","Integral",2400,0.375,1.1,"Regiao Sudeste"
"Concluintes","F","2.5<RFP<=3.5","Preta","35 a 39 anos","Integral",3600,0,1.15,"Regiao Sudeste"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3600,0,1.16,"Regiao Sudeste"
"Concluintes","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",2400,2.625,1.15,"Regiao Sudeste"
"Concluintes","M","1<RFP<=1.5","Preta","35 a 39 anos","Integral",3600,17.725,1.15,"Regiao Sudeste"
"Concluintes","M","2.5<RFP<=3.5","Preta","35 a 39 anos","Integral",3600,1.025,1.15,"Regiao Norte"
"Concluintes","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,21.4,1.15,"Regiao Sudeste"
"Concluintes","M","NA","Preta","20 a 24 anos","Integral",3600,1.5,1.19,"Regiao Centro-Oeste"
"Concluintes","F","NA","Preta","20 a 24 anos","Integral",3600,3.025,1.15,"Regiao Centro-Oeste"
"Concluintes","F","2.5<RFP<=3.5","Preta","30 a 34 anos","Integral",3200,37.975,1.2,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,5.3,1.15,"Regiao Centro-Oeste"
"Concluintes","M","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,29.9,1.15,"Regiao Sudeste"
"Concluintes","F","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,29.9,1.15,"Regiao Sudeste"
"Concluintes","M","NA","Preta","20 a 24 anos","Integral",3600,62.6,1.16,"Regiao Sudeste"
"Concluintes","M","RFP>3.5","Preta","25 a 29 anos","Integral",3200,37.975,1.2,"Regiao Sudeste"
"Concluintes","F","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3600,21.25,1.15,"Regiao Sudeste"
"Concluintes","F","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,21.25,1.15,"Regiao Sudeste"
"Concluintes","F","RFP>3.5","Preta","20 a 24 anos","Integral",3600,5.75,1.2,"Regiao Sudeste"
"Concluintes","F","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3600,5.75,1.2,"Regiao Sudeste"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3600,17.325,1.15,"Regiao Norte"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3200,37.975,1.2,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Concluintes","F","NA","Preta","30 a 34 anos","Integral",3600,23.425,1.1,"Regiao Sudeste"
"Concluintes","F","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3200,20.325,1,"Regiao Sudeste"
"Concluintes","M","0<RFP<=0.5","Preta","25 a 29 anos","Integral",3600,0.9,1.15,"Regiao Sudeste"
"Concluintes","M","RFP>3.5","Preta","30 a 34 anos","Integral",3200,19.425,1.15,"Regiao Sudeste"
"Concluintes","F","RFP>3.5","Preta","25 a 29 anos","Integral",3200,19.625,1,"Regiao Sudeste"
"Concluintes","F","1<RFP<=1.5","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Concluintes","M","NA","Preta","20 a 24 anos","Integral",3600,3.075,1.15,"Regiao Sudeste"
"Concluintes","F","RFP>3.5","Preta","25 a 29 anos","Integral",3200,30.85,1.2,"Regiao Sudeste"
"Concluintes","F","2.5<RFP<=3.5","Preta","25 a 29 anos","Integral",3600,10.375,1.19,"Regiao Sudeste"
"Concluintes","M","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3600,19.125,1.15,"Regiao Norte"
"Concluintes","M","2.5<RFP<=3.5","Preta","20 a 24 anos","Integral",3200,20.325,1,"Regiao Sudeste"
"Concluintes","M","NA","Preta","20 a 24 anos","Integral",3600,8.975,1.19,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3000,31.875,1.21,"Regiao Sudeste"
"Concluintes","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3000,31.875,1.21,"Regiao Sudeste"
"Concluintes","F","0.5<RFP<=1","Preta","25 a 29 anos","Integral",3600,96.025,1.16,"Regiao Sudeste"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3600,2.85,1.19,"Regiao Sudeste"
"Concluintes","F","NA","Preta","35 a 39 anos","Integral",3200,0,1,"Regiao Sudeste"
"Concluintes","M","1<RFP<=1.5","Preta","25 a 29 anos","Integral",3600,0,1.19,"Regiao Sudeste"
"Concluintes","M","NA","Preta","25 a 29 anos","Integral",3600,4.625,1.15,"Regiao Sudeste"
"Concluintes","F","NA","Preta","20 a 24 anos","Integral",3600,8.175,1.2,"Regiao Sudeste"
"Concluintes","F","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3600,8.175,1.2,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3600,33.55,1.15,"Regiao Norte"
"Concluintes","F","1<RFP<=1.5","Preta","25 a 29 anos","Integral",3600,7.65,1.15,"Regiao Sudeste"
"Concluintes","F","NA","Preta","25 a 29 anos","Integral",2400,13.075,1.13,"Regiao Sudeste"
"Concluintes","M","0<RFP<=0.5","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
"Concluintes","M","0.5<RFP<=1","Preta","20 a 24 anos","Integral",3000,0.875,1.21,"Regiao Sudeste"
