Sexo,RendaFamiliar,CorRaca,FaixaEtaria,Semestres,Turno,CargaHorariaMinimaRegulamentada,TipodeCurso,FatordeEsforcodeCurso,CategoriadeSituacao
"F","1<RFP<=1,5","Preta","25 a 29 anos",6,"Integral",2400,"Bacharelado",1.1,"Concluintes"
"F","2,5<RFP<=3,5","Preta","35 a 39 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","0<RFP<=0,5","Preta","20 a 24 anos",7,"Integral",2400,"Bacharelado",1.15,"Concluintes"
"M","1<RFP<=1,5","Preta","35 a 39 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","2,5<RFP<=3,5","Preta","35 a 39 anos",8,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","0<RFP<=0,5","Preta","20 a 24 anos",9,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"M","0,5<RFP<=1","Preta","25 a 29 anos",9,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","2,5<RFP<=3,5","Preta","30 a 34 anos",10,"Integral",3200,"Bacharelado",1.2,"Concluintes"
"M","0,5<RFP<=1","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","0,5<RFP<=1","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","RFP>3,5","Preta","25 a 29 anos",10,"Integral",3200,"Bacharelado",1.2,"Concluintes"
"F","2,5<RFP<=3,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","0,5<RFP<=1","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","RFP>3,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.2,"Concluintes"
"F","2,5<RFP<=3,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.2,"Concluintes"
"M","0,5<RFP<=1","Preta","20 a 24 anos",10,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"F","2,5<RFP<=3,5","Preta","20 a 24 anos",9,"Integral",3200,"Bacharelado",1,"Concluintes"
"M","0<RFP<=0,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","RFP>3,5","Preta","30 a 34 anos",10,"Integral",3200,"Bacharelado",1.15,"Concluintes"
"F","RFP>3,5","Preta","25 a 29 anos",10,"Integral",3200,"Bacharelado",1,"Concluintes"
"F","1<RFP<=1,5","Preta","20 a 24 anos",8,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"F","RFP>3,5","Preta","25 a 29 anos",10,"Integral",3200,"Bacharelado",1.2,"Concluintes"
"F","2,5<RFP<=3,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.19,"Concluintes"
"M","2,5<RFP<=3,5","Preta","20 a 24 anos",9,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","2,5<RFP<=3,5","Preta","20 a 24 anos",9,"Integral",3200,"Bacharelado",1,"Concluintes"
"M","0,5<RFP<=1","Preta","20 a 24 anos",8,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"M","0<RFP<=0,5","Preta","20 a 24 anos",9,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"F","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.16,"Concluintes"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",9,"Integral",3600,"Bacharelado",1.1,"Concluintes"
"M","1<RFP<=1,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.19,"Concluintes"
"F","0<RFP<=0,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.2,"Concluintes"
"F","0<RFP<=0,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","0,5<RFP<=1","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","1<RFP<=1,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.1,"Concluintes"
"M","0<RFP<=0,5","Preta","20 a 24 anos",8,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"M","0,5<RFP<=1","Preta","20 a 24 anos",8,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"M","0<RFP<=0,5","Preta","20 a 24 anos",8,"Integral",3000,"Bacharelado",1.21,"Concluintes"
"F","0,5<RFP<=1","Preta","25 a 29 anos",2,"Integral",2400,"Bacharelado",1.1,"Concluintes"
"F","1<RFP<=1,5","Preta","25 a 29 anos",2,"Integral",2400,"Bacharelado",1.1,"Concluintes"
"F","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3000,"Bacharelado",1,"Concluintes"
"F","1,5<RFP<=2,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.14,"Concluintes"
"M","1<RFP<=1,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.14,"Concluintes"
"M","RFP>3,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.19,"Concluintes"
"F","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.16,"Concluintes"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","0<RFP<=0,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","1<RFP<=1,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.1,"Concluintes"
"M","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.16,"Concluintes"
"M","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"F","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Concluintes"
"M","1,5<RFP<=2,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.16,"Concluintes"
"M","0,5<RFP<=1","Preta","25 a 29 anos",3,"Integral",3600,"Bacharelado",1.19,"Concluintes"
"F","0,5<RFP<=1","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.16,"Concluintes"
"F","0<RFP<=0,5","Preta","25 a 29 anos",3,"Integral",2400,"Bacharelado",1.1,"Concluintes"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.14,"Concluintes"
"M","0<RFP<=0,5","Preta","25 a 29 anos",3,"Integral",3600,"Bacharelado",1.1,"Concluintes"
"M","1,5<RFP<=2,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.14,"Concluintes"
"M","0<RFP<=0,5","Preta","20 a 24 anos",4,"Integral",3000,"Bacharelado",1.21,"Evadidos"
"M","1<RFP<=1,5","Preta","20 a 24 anos",4,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","RFP>3,5","Preta","20 a 24 anos",6,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","0,5<RFP<=1","Preta","15 a 19 anos",1,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","0<RFP<=0,5","Preta","20 a 24 anos",7,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","1,5<RFP<=2,5","Preta","15 a 19 anos",0,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",8,"Integral",3000,"Bacharelado",1.21,"Evadidos"
"F","RFP>3,5","Preta","20 a 24 anos",8,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","0,5<RFP<=1","Preta","20 a 24 anos",8,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","1<RFP<=1,5","Preta","20 a 24 anos",2,"Integral",3000,"Bacharelado",1.21,"Evadidos"
"F","0,5<RFP<=1","Preta","20 a 24 anos",1,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","0,5<RFP<=1","Preta","30 a 34 anos",6,"Integral",3000,"Bacharelado",1.21,"Evadidos"
"F","0,5<RFP<=1","Preta","30 a 34 anos",6,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","0<RFP<=0,5","Preta","25 a 29 anos",9,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","1<RFP<=1,5","Preta","30 a 34 anos",10,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","1<RFP<=1,5","Preta","20 a 24 anos",4,"Integral",3000,"Bacharelado",1.1,"Evadidos"
"M","1<RFP<=1,5","Preta","15 a 19 anos",0,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","0<RFP<=0,5","Preta","30 a 34 anos",4,"Integral",3600,"Bacharelado",1.1,"Evadidos"
"M","0,5<RFP<=1","Preta","20 a 24 anos",4,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","0<RFP<=0,5","Preta","25 a 29 anos",4,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","0<RFP<=0,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","0<RFP<=0,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.19,"Evadidos"
"M","0,5<RFP<=1","Preta","20 a 24 anos",1,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","0<RFP<=0,5","Preta","20 a 24 anos",1,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","2,5<RFP<=3,5","Preta","20 a 24 anos",10,"Integral",3600,"Bacharelado",1.19,"Evadidos"
"M","0<RFP<=0,5","Preta","20 a 24 anos",2,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","1<RFP<=1,5","Preta","15 a 19 anos",1,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"F","1,5<RFP<=2,5","Preta","20 a 24 anos",1,"Integral",3200,"Bacharelado",1.06,"Evadidos"
"F","0<RFP<=0,5","Preta","45 a 49 anos",8,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","0,5<RFP<=1","Preta","35 a 39 anos",8,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","0,5<RFP<=1","Preta","20 a 24 anos",4,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"F","1<RFP<=1,5","Preta","15 a 19 anos",1,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","1,5<RFP<=2,5","Preta","20 a 24 anos",8,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","1<RFP<=1,5","Preta","Maior de 60 anos",10,"Integral",3600,"Bacharelado",1.16,"Evadidos"
"M","2,5<RFP<=3,5","Preta","25 a 29 anos",10,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","1,5<RFP<=2,5","Preta","25 a 29 anos",10,"Integral",3000,"Bacharelado",1.21,"Evadidos"
"F","RFP>3,5","Preta","30 a 34 anos",10,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"M","RFP>3,5","Preta","15 a 19 anos",1,"Integral",3600,"Bacharelado",1.1,"Evadidos"
"F","0,5<RFP<=1","Preta","15 a 19 anos",1,"Integral",3600,"Bacharelado",1.15,"Evadidos"
"F","0,5<RFP<=1","Preta","20 a 24 anos",1,"Integral",3200,"Bacharelado",1.06,"Evadidos"
